text,rating,polarity_score,polarity
very good,5,5,positive
buruk susah login,1,-8,negative
gabisa login,1,0,neutral
engga bikin akun stick pemeriksaan keamanan,1,0,neutral
login ya,1,4,positive
daftar masuk ngga udah cari penyebab nya gogle cari tetep aja ngga,2,-14,negative
update hasil postingan memudahkan mencari pekerjaan tolong kembalikan hasil pencarian postingan tolong beritahu setelan salah,2,11,positive
bagus,5,2,positive
mantab aplikasinya,5,0,neutral
kasih bintang tau susah masuk akun coba atur ulang password gak pesan muncul pemeriksaan keamanan aplikasi rusak hancur labil tolong kembalikan akun,1,-1,negative
jelashampir sebulan akun batasi,1,0,neutral
topbgt,5,0,neutral
ga login sih mari lakukan pemeriksaan cepat bnget abis tuh muncul halaman tersedia,1,13,positive
mengembalikan dana kepotong berlangganan kepotong sepengetahuan,1,6,positive
menarik,5,4,positive
gila susah banget loginnya,1,1,positive
aplikasi opo iki su ora kenek,1,-6,negative
anggap aja sdh bagus,5,3,positive
susah masuk keamanan muter,3,-6,negative
super,5,3,positive
gimana stuk pemeriksaan keamanan cepat,1,3,positive
akun gabisa dibuka mentok pemeriksaan keamanan cepat,1,-2,negative
stick pemeriksaan cepat sih,1,3,positive
proses verifikasi keamanan penyelesaian,1,3,positive
mesin pencarian memposting muncul kunci eror postingan orang alasan postingan upgrade mohon perbaiki,1,2,positive
aplikasi tolol,1,-9,negative
search bandung postingan hasilnya,3,-1,negative
tolong perbaiki fitur search nya fitur search filter terbaru tampil postingan terbaru terfilter kunci nya contoh mencari postingan kunci ternate filter terbaru postingan terbaru mengabaikan kunci ternate tolong kembalikan memudahkan mencari postingan tolong perbaiki,1,36,positive
lemot njiinggg,1,-5,negative
leader,5,0,neutral
email notifikasi linkedin memuakkan lamalama kirim notifikasi ga sesering nofitikasinya condong pemberitahuan langganan premium ga,2,-5,negative
pemeriksaan cepat mengganggu login mohon diperbaiki,1,9,positive
load memeriksa keamanan cepat download x,1,-2,negative
apk jelek login verifikasi mutermuter gak,1,-5,negative
daftar aja gk verifikasi kemanan muter,1,2,positive
gabisa search postingan orang ya,1,4,positive
pengisian nya ribet,1,-4,negative
ok,2,4,positive
cari loker persulit login kode otp gak muncul munculuninstal,1,-5,negative
nambah wawasan perkenalan mudah mencari kerja magang mahasiswa berteman langsung hrd nya chat an comment nya bagus aplikasi,5,4,positive
good platform,5,5,positive
yg mengalami log out ga masuk alamat email password stick pemeriksaan cepat walopun uninstall reinstall ulasan diperhatikan admin linkedin ya perbaikan,1,13,positive
beneran gak perbaikan linkedin mengeluhkan susah login loh mengecewakan,1,0,neutral
kocak ni apk ngestuck mulu keamanan login,1,0,neutral
membantu,5,4,positive
stick pemeriksaan keamanan,1,0,neutral
bagusi,5,0,neutral
susah banget verifikasi akun nya suka eror mulu,2,-1,negative
best,5,0,neutral
muter gak kagak masuk,1,-6,negative
goid,5,0,neutral
keren,4,0,neutral
very very very lag when in security verificationeven though my internet connection be stable,1,0,neutral
apply lamaran nya ribet kalo hiredtoday susah pakai aplikasinya,1,-7,negative
daftar,2,1,positive
errorlogin buang waktuu,1,-3,negative
membantu app,4,4,positive
masuk akun load mulu ditungguin ga kelar kelar internet lancar kocak,1,7,positive
ga daftar,1,1,positive
aplikasi tolol susah bener login aja stick pemeriksaan robot,1,-8,negative
kode otp gamasuk masuk disms,1,-6,negative
masuk,1,-3,negative
login nomer telpon,1,0,neutral
tolong gimana ga buka apk nya aplikasi doang logout pas buka apk nya hrs login trs lodingnya banget lgi tolong linkedln perbaiki lgi,2,13,positive
good kendalah data rusak jln cek,5,1,positive
tolong perbaiki akun aja gabisa developernya perbaiki biar memudahkan login,1,8,positive
error proses akun,1,-4,negative
keren membanru,5,0,neutral
akun login akun dibatasi ga,1,0,neutral
link bantu masuk caterpillar,5,0,neutral
nice projecto,4,4,positive
helpful relational joyful to get brightul future,5,0,neutral
saldo dana dipotong aplikasi pengembalian dana karna membeli paket langganan premium,1,18,positive
stick pas login pemeriksa keamanan cepat tolong diperbaiki,1,9,positive
cant login on google mail and cant reset password on pc its always error and buffer couldnt connect,1,-5,negative
aplikasi buruk diupdatean aja gak login stick dibagian mari lakukan pemeriksaan keamanan cepat udah loh aja gak diperbaiki diupdate nya perbaikan bug perbaikan bug diperbaiki coba gak ngaruh aja gak hadeuh umpan kayak gini gak dibales developer emang aneh gajelas app,1,4,positive
membantu informasi seoetaran lowongan pertambangan,4,6,positive
mantap,5,5,positive
aplikasi gak jelass udh berhasil daftar gk dibukak tb tb akun dibatasi disuruh verivikasi persona udh selesai verifikasi disuruh nunggu maksimal x jam ud tunggu sampe gabisa dibukak aplikasi gak,1,-1,negative
good,5,5,positive
load mulu cuman login,1,2,positive
goof,5,0,neutral
aplikasi tolol susah akun ge,1,-12,negative
apk berbayar perbarui masuk,1,-6,negative
semoga sukses,5,3,positive
stick verifikasi bot,1,-2,negative
mendownload aplikasi linkedin,5,-4,negative
terbaik pekerja,5,8,positive
tolong admin linkdin job kebalikan uang langganan sayakarena aplikasi inidan pengambilan sepengetahuan,5,3,positive
loginapk busuk,1,-5,negative
powerful and useful apps,5,0,neutral
apps lbh berkualitas dr sosmed manapun membangun jaringan,5,7,positive
aplikasi rusakdidownload gak dipakesama keluhannya orang,1,-4,negative
suka,5,3,positive
stuk verifikasi bot hadehhhh,1,-2,negative
gagal masuk verifikasi captcha menunggu dri bgini blum diperbaiki,1,-10,negative
this apps good for everyone to know each other,5,5,positive
linkedin stick lakukan pemeriksaan cepat login tolong perbaiki butuh kerja hapus data berulang kali login load,1,-3,negative
halo linkedin akun terkena restrict kali mengirimkan email balasan dm twitter tanggapan memiliki akses akun secepatnya menganggu,2,12,positive
buruk bikin akun susah banget,1,-7,negative
login tolong perbaiki,1,3,positive
ni aplikasi si akun susahlogin susah stick mari lakukan pemeriksaan keamanan cepat developer tolong diperbaiki niatnya pakai linkedin mempermudah susah haduh,1,-3,negative
bantu masuk data masuk aplikasi nya,1,-10,negative
nggak masuk aplikasiperbaiki aplikasinya,1,-2,negative
sumpah sih stick pemeriksaan bot kesel bgt,3,-4,negative
aplikasihnya bagus,5,2,positive
sulit edit profil,1,0,neutral
aplikasi buruk gampang rawan pembatasan kebanyakan aturan,1,-8,negative
diterima kerja orang ordal ngapain bikin loker hapus aja aplikasinya ga berguna,1,7,positive
menyukai aplikasi membantu akun linkedin stuk mari lakukan pemeriksaan keamanan nunggu load ya kelar kelar gak masuk mohon solusinya terimakasih,5,26,positive
hp instal ulang susah masuk akun load pemeriksa keamanan cepat selesai selesai,1,1,positive
mohon solusi nya admin akun dilempar login ulang stick pemeriksaan keamanan cepat kali akun,1,8,positive
loding nya,3,0,neutral
bagus utk mencari informasi dn berinteraksi sosial dgn eksrkutif,5,5,positive
membantu mencari pekerjaan,5,4,positive
registrasi banget pemeriksaan daftar kuota sinyal bagus tlong perbaiki kedepannya,1,2,positive
upload foto profil,2,3,positive
keamanan sopir,5,0,neutral
sih verification cepat gak,1,3,positive
why my account restrict,1,-2,negative
daftar doang anjibg,1,2,positive
min gabisa bikin akun ya stick pemeriksaan keamanan tolong diperbaiki,1,7,positive
ngestuck pemeriksaan keamanan cepat cepat apanya tolol platform mobilepc tolong diperbaiki seharus nya aplikasi nya dikasih fitur cs biar ngadu kayak yg aplikasinya gaada aja,1,-8,negative
login aja ribet susah login,1,-6,negative
good connect good advisory big join team work thank you so much linkedln,5,16,positive
gak daftarlogin,1,0,neutral
be good,5,5,positive
login susah be,1,-3,negative
ga login stick keaman sistem gimana yaaa tolongg cs nya respontif perbaiki sistem aplikasinya merugikan,1,-8,negative
good,4,5,positive
link in oke,5,2,positive
masuk akun coba verifikasi id diajukan,1,-1,negative
sanggat membantu,5,4,positive
informatif,5,0,neutral
good membantu,5,9,positive
skrg ku kasih bintang y bikn akun kodeny g dikirim trus akhirny pke nomor temenku login bentar login menyelesaikan profil dh berputarputar lgi katany pemeriksaan cepat pemeriksaan cepat apany yg pemeriksaan cepat slama berputarputar aj trus coba buka browser kek gtu jg aj g apk g browser ya katany bkal dibaikin ntu harap bug apk hilang bgt loh buatku udh x install uninstall,1,28,positive
stick proses pemeriksaan keamanan cepat,1,4,positive
gabisa login muter doang,1,1,positive
gk verifikasi mulu udh gnti akun email udh masuk lgi gtu lgi,1,-1,negative
eror mulu ajing login gk asu,1,-2,negative
daftar web aplikasi gagal load mulu,1,-5,negative
terbaik full information,5,5,positive
kebanyakan iklan udah klik apply muncul menemukan halaman silahkan coba dikata snack berhadiah isinya coba mulu kalo gabisa bikin aplikasi berjalan lancar bermanfaat orang mend hapus aja dah karna kebanyakan iklan bikin user sulit melamar pekerjaan aplikasi,1,15,positive
aplikasi nya rusak daftar udah isi ga panggilan kerja panggilan kasi bintang,1,1,positive
ga login muter trs,1,0,neutral
aplikasi bug masuk aplikasinya,2,-7,negative
aplikasi jelek login stick mari lakukan pemeriksaan keamanan cepat gimana developernya keluhan user balas,1,-4,negative
upload file menu ubah pengalaman kerja,5,4,positive
good uplication,5,5,positive
aneh daftar aja gabisa,1,6,positive
mohon perbaiki bug melampirkan sertifikasi tanda simpan,4,-3,negative
aplikasi ga nyuruh verifikasi cepat ehh tunggu load nya banget,1,-2,negative
oh hellnah banget buset verifikasinya,1,1,positive
versi hp mengecewakan,3,-3,negative
ni ga bs buka login pemeriksaan ga selesai ber update hapus cache sdh tlg dibantu ni admin,1,7,positive
excellence,5,0,neutral
aplikasi error pemeriksaan cepat sampe setaon ga kelar kelar bintang nyesal kasih,1,-2,negative
aja,4,1,positive
nggak banget login gabisa dipersulit recaptchanya berjam jam pdhl koneksi bgs udhlah nomor ga valid pdhl sy nomor bnyk ga valid pdhl nomornya aktif ampun dehh nih apk,1,7,positive
bermanfaat bintang terbaik cerdas,5,10,positive
akun login mempersulit login akun perangkat mudahkan login perangkat membutuhkan verifikasi orang hack profil link in,1,-4,negative
stick login,1,0,neutral
awesome,5,0,neutral
akun dibatasi pelanggaran apapun akun hasilnya blm akun hilang stick pemeriksaan cepat tolong,1,9,positive
expand network and business development,5,0,neutral
akun linkedin masuk stack pemeriksaan keamanan tunggu,1,-2,negative
login ngestuck cek keamanan,1,-4,negative
pemeriksaan keamanan berfungsi,1,0,neutral
aplikasi linkedln sya tdk registrasi stick dibagian pemeriksaan,1,-4,negative
linkedin ngestuck dihalaman lakukan pemeriksaan keamanan cepat,1,3,positive
bagus lumayan,5,3,positive
download apk lainya ribet,1,-4,negative
pemeriksaan cepat mohon ditingkatkan,1,5,positive
aplikasi nya ga bsa login akun,1,-4,negative
terimakasih aplikasi profesional,5,1,positive
sampe nyari kerjaan apk ga tuh sapet satupun pusing yg mnding gua hapus aja,1,-9,negative
oke aja deh,5,3,positive
kecewa aplikasi,1,-4,negative
login gak load tolong bantuannya,1,3,positive
daftar stick pemeriksaan keamanan cepat berkalikali masuk aja muncul tulisan halaman web tersedia gimana susah banget daftar,1,6,positive
semoga bermanfaat berguna,5,10,positive
bersemangat,5,4,positive
plis pakai email sehari udah gak login sumpah bikin kesel bangett,1,-4,negative
bikin akun load mulu malas aahh ribet,1,-9,negative
informasi blm dimengerti,3,2,positive
i try to log in with my gmail account but it always get stick at verification and it keep repeat its so annoy,1,0,neutral
error ketiga login verifikasi email,1,-5,negative
good job linkedin,5,5,positive
gak login stick pemeriksaan cepat udah dicoba berkali aja,1,6,positive
tolong bikin akun linkedin kenapaa muterrr yaa udah coba pake laptop web tetep ga padhal sinyal udah oke storage jug lega tp tetep miter kek gitu,3,7,positive
gak login,1,0,neutral
susah banget login muter pemeriksaan keamanan jaringan bagus muter,1,3,positive
tolong perbaiki linkdin download daftar ngestuck halaman perbaikan,1,7,positive
pas log in ulang load berjamjam ulang ga,1,3,positive
bagus,4,2,positive
login pemeriksaan keamanan cepat,1,3,positive
udah update ga login ya tolong diperbaiki tugas ga ga login,1,6,positive
daftar akun aja susah layak bintang,1,2,positive
gak dibuka,1,0,neutral
likedln be profesional platform,5,0,neutral
login berputarputar halaman pemeriksaan keamanan ditunggu perubahan aplikasi web tolong perbaikan verifikasi halaman bergerak,1,8,positive
sngt membantu trus kmbangkan,5,4,positive
terjebak pemeriksaan keamanan cepat tolong pekerjaan iya gagal dapet kerja gegara susah login aja si aplikasi diweb aja terjebak pemeriksaan keamanan cepat,1,4,positive
login tulisannya eror,1,-4,negative
linkedin stick halaman pemeriksaan keamanan cepat coba berkali kali berhasil laporan website linkedin pas selesai isi dikirim tolong linkedin perbaiki fitur pemeriksaan kemanan cepat buruk mengganggu tolong perbaiki bug semacamnya menganggu,1,20,positive
akun udah dipeasulit aja stak mari lakukan pemeriksaan keamanan cepat hadehhhh,1,8,positive
stick login,1,0,neutral
platform terbaik mencari relasi bisnis cuan,5,8,positive
mantul,5,0,neutral
keren worth it,5,0,neutral
login pemeriksaan akunya berjalan stick,2,-1,negative
membantu pencari kerja,4,6,positive
masukapakah bug lenkedln,2,0,neutral
my account get permament restriction without any information before use your personal account and email without consent,1,0,neutral
min aplikasi eror diupdate gk diinstalmana isinya temen bos internasional aplikasi utk bisnis perusahaan perusahaan internasional dunia tolong min dikembalikan aplikasi linkedin biar diinstal bisnis semulaterimakasih,1,4,positive
berguna lara pencari loker,5,0,neutral
haii pengelola aplikasi limkedln mohon maaf keluhan ya daftar lemot eh error sih stick disitu aja udh login gmail ya tolong benerin gak kontolll,1,0,neutral
tolong perbaiki verifikasi keamanan menganggu ketikan login,3,3,positive
masuk akun aplikasi berfungsi isi data lengkap verifikasi email fungsinya aplikasi buruk,1,-15,negative
apk sempurna orang nyari kerja premium bayar orang pengangguran atuh mend kalo bayar nya sesuai kantong pengangguran jaman skrng kn hr pasang iklan loker up date status kalo sesuai qulifikasi suruh dm kalo dm kn premium kalo premium ya langganan alias bayar tolong perbaiki kalo gratis byr byr jd anggota premium sesuai kantong pencaker trimakasih,1,32,positive
halo akun tibatiba logout login sandi nomor hp ubah orang gak bertanggung email nyangkut gak login developer gimana sih akun pengguna retas tanggung jawablah gak hapus akun nih,1,-6,negative
bug toror,1,0,neutral
aplikaai jelek sih mari lakukan pemeriksaan cepat lambat gimana sih ngga,1,1,positive
aplikasi ga berguna ga login,1,1,positive
login akuntolong bantu solusi nya,1,6,positive
bolak ttep ga daftar login menerima kode aplikasi bobrok auto lngsung kasih bintang nol klo,1,-9,negative
napa ya skrg bikin akun susah bet disuru masukin nomer tpi kode verifikasi nya kaga nongol pas mo nyoba masukin nomer lagii kaga so weird againn page mari lakukan pemeriksaan keamanan cepat cepatnyaaa sejam gue tungguin kaga kelar monyet,1,6,positive
apk good,5,5,positive
i write and the draft feature didnt work my article go,1,0,neutral
link susah banget login,1,-2,negative
aneh apps ganti device ga login device keluhan kebanyakan orang stick halaman pemeriksaan keamanan,1,6,positive
verifikasi keamanan nya susah banget mengisi sesuai data,1,0,neutral
bagus,4,2,positive
aplikasi linkedln aplikasi keren membantu mmperluas jaringan menjalin bisnis,5,2,positive
sy perbaiki bintangnya krn udh login kalo nnti pas login dipersulit bermasalah sy turunin lg ratingnya,4,3,positive
membnatu mencari perkerjaan thank you very much linkedln,5,1,positive
heran deh linkedin logout login mengakses akun tulisan nya sih menghindari serangan bot ga kunjung selesai,1,4,positive
aplikasi membantu mencari pekerjaan,5,0,neutral
login nya susah mohon perbaikan nya,3,2,positive
aplikasi bodongsaya instal membuka aplikasi akun berlangganan premiumsaya rugikan dgn aplikasi kembalikan dana,1,-6,negative
mantap linkedn,5,5,positive
nyoba dlu,4,0,neutral
gajelas gabisa login,1,0,neutral
loginya banget jing,2,1,positive
aplikasi berjalan stick mari lakukan pemeriksaan keamanan cepat,1,3,positive
stick dihalaman pemeriksaan cepat,1,3,positive
media memperkaya knowledge,5,0,neutral
susah masuk,1,-6,negative
ok,4,4,positive
linkedin kekeliruan sistem koneksi nya terkesan nepotisme,3,-1,negative
bantu m mencari kerja,5,2,positive
bingung pelamaran,4,0,neutral
good job,5,5,positive
kali gak login ya mendaftarkan susah,1,1,positive
gak login seminggu akun,1,0,neutral
apk aneh gabisa login login sampe kesel,1,-1,negative
susah login perbaiki jaringan oke,1,2,positive
masuk akun google loadingnya,1,-3,negative
pemeriksaan keamanan cepat,1,3,positive
your linkedin network will be back soon weve notify our operations staff that you be have a problem reach linkedin well get you reconnected soon you can leave this window open and well automatically take you back to your linkedin home page in a few minutes we apologize for the interruption user infinix zero gandroid,1,-11,negative
verifikasi chapta error mulu stick kgk login,1,-6,negative
kesalahan daftar udah coba kali pake wifi,1,-2,negative
yaa ga login akun linkedln iya verifikasi bln nih pliss kasih solusinyaa,2,2,positive
ga login ininge stick pemeriksaan keamanantolong segeran diperbaikidibantu dongg,2,0,neutral
konyol ga dibukatiba logout sendirikacau,1,-3,negative
muter muter doank dipemeriksa keamanan ya admin tolong diperbaiki udah gak,1,7,positive
mengakses akun proses pemeriksaan keamaan membuahkan hasil apapun menunggu jam hasilnya nihil,1,-3,negative
aplikasinya instal vivo y gak kebuka langsung close aplikasinya,1,1,positive
good information,5,5,positive
login verivikasi lamaaaaaa,1,0,neutral
mantappp,5,0,neutral
mencoba mendaftar ganti hp gabisa stick pemeriksaan keamanan ditunggu setahun gabakal kelar mohon bug nya fix,1,6,positive
aplikasi aneh bgt si akun gua gabisa login akses akun dibatasi gua pke email beda besokannya logout gabisa login tolong diperbaikin org yg ngomong,1,-3,negative
login aja susah ajg tolong lh tod,1,1,positive
aplikasi gak login susah banget,1,-6,negative
aplikasi kebanyakan update sampe kali,2,-2,negative
gak daftar aplikasi ampas,1,-6,negative
stick login,1,0,neutral
akun ban,1,0,neutral
membantu mengembangkan pengetahuan perkembangan teknologi bidang pekerjaan jalani teman relasi berhubungan pekerjaan,5,19,positive
gak perbarui,2,0,neutral
good app,5,5,positive
productive,5,0,neutral
login dipersulit pemeriksaan cepat gak masuk masukkan email password coba email verifikasi wajah ktp gak login email membantu konfirmasi perangkat dipakai perangkat login sesulit hapus aplikasinya merugikan akun akses,1,8,positive
linkedin the best,5,0,neutral
linkedin terbaik,5,5,positive
membantu,5,4,positive
load stick,1,0,neutral
maaf kasih bintang nya pas ngisi profil pendidikan nya cuman universitasgelar bidang studi lulusan smk bingung ngisi nya gimana ubah gak nama universitas ganti nama smk gak perbaiki nya temen kaya gitu ngeluh ko gini nya emang universitas gutu linkedin mohon maaf ya bantu nya terimakasih,1,28,positive
menyenangkan,5,4,positive
stak diverifikasi keamanan dh nungguin seharipun stak disitu,2,1,positive
gajelas bet gabisa masuk error mulu,1,-6,negative
iya,5,0,neutral
semoga aplikasi manfaat nya mencari pekerjaan sukses,4,4,positive
stick menu lakukan pemeriksaan keamanan,1,0,neutral
periksa keamanan cepat sejam aplikasi buruk,1,-11,negative
susah log indar problem masi,1,-7,negative
aplikasi ngak berguna menuhin storage aja,1,2,positive
bermanfaat network karier,5,5,positive
ga masuk apk scam,1,-3,negative
buka link,1,3,positive
aplikasi penipuan bgt berlangganan premium yg biayanya jt gk gila nih aplikasi gk,1,-1,negative
login pdhl sdh email password yg bener aneh linkedln skrg gegara hp flash krna kebanyakan virus eh sekalinya login ulang,1,6,positive
aplikasi mantap peluang,5,1,positive
aplikasi bikin rugi download mala nggak buka yg niat bantu merugikan,1,-7,negative
parah ga ngapangapain tibatiba out kacau,1,-5,negative
linkedin stick halaman pemeriksaan keamanan cepat coba berkali kali berhasil tolong linkedin perbaiki fitur pemeriksaan kemanan cepat buruk mengganggu tolong perbaiki bug semacamnya bug akun email,1,16,positive
nice apps,5,4,positive
linkedin connect me with many good educate profesional people world wide this be a good online communication tool,3,10,positive
mengerti layanan,5,5,positive
imformatif,5,0,neutral
simple clean and fast,5,3,positive
gimana daftarnya gabisa memeriksa keamanan,2,-5,negative
udah coba sign in tdk berhasil skrg,1,5,positive
login stick mari lakukan pemeriksaan cepat server eror knapa lihat lihat org yg menhalami solusinya,1,12,positive
bagus berinovasi,5,2,positive
informasi bermanfaat peningkatan softskill,5,7,positive
tau ceo nya mbah google muda ganteng gitu tau beda ya pandangan serem galak pesepak bola david beckham gitu ya oh nyambung ceo nya google aja dgn chrome ya orang dunia sadar alhamdulillah jelajah kemana tau,5,4,positive
login link in keren,1,0,neutral
informasi yg sajikan akurat,4,2,positive
login pas pemeriksaan keamanan cepat mutar nya login,1,6,positive
gak login ditunggu eror tolong bantu,1,4,positive
dawg sakit hati liat prestasi orang orang apk,5,-1,negative
tolong perbaiki stick login nya,1,3,positive
say daftar akun sinyal,1,2,positive
mari lakukan pemeriksaan keamanan cepat,1,7,positive
membantu memperoleh koneksi pekerjaan,5,9,positive
aplikasi anjeng,1,-9,negative
good application,5,5,positive
mendaftar ya,2,4,positive
ga login mulu verifikasinya load ga login udah kaya gitu duhh pake apps pake web ajaa ga kebukaa tolong solusinyaa,1,7,positive
,5,0,neutral
mudah,5,4,positive
,1,0,neutral
pendaftaran selesai mengisi password aplikasi nya trouble stick load wkwk,1,3,positive
tolong perbaiki login stick pemeriksaan cepat coba login,2,8,positive
mari lakukan pemeriksaan keamanan cepat cepat ngestuck disitu yaampun udah sampe udah verifikasi identitas pake muka ktp tetep aja gabisaaa kacau bgt tolong diperbaiki linkedin yg mengalami,1,17,positive
udah masuk pemeriksaan keamana cepat masuk akun anehhhh,1,-3,negative
profesional kualitas yg dipertanggunghawabkan,5,4,positive
good job,4,5,positive
ga banget aplikasi ga login sinyal bagus,1,-1,negative
bergabung stick mari lakukan pemeriksaan cepat login payah,1,3,positive
kerensangat membantu membutuhkan pekerjaan,5,7,positive
stick d pemeriksaan nggaada solusi apl,1,3,positive
bagus profesional,5,2,positive
ga login cape bgt dah,1,-7,negative
akun email hack,1,-4,negative
aplikasi gj aja download stick pemeriksaan keamanan,1,-3,negative
connect people to people,5,0,neutral
nggak terpakai,5,1,positive
susah banget loginnya tolong diperbaiki,1,1,positive
gak login ya pemeriksa keamanan link web masuk,1,1,positive
apk gaje,1,-3,negative
aplikasi berguna,5,1,positive
ya linkedin pemeriksaan keamanan cepat loadingnya banget kuota sinyal bagus nya,1,8,positive
jawa sabang maroke,3,0,neutral
buka diapk diberanda memuat fee web enak kyny semenjak diupdate gini eror mulu,1,6,positive
trimakasih,5,4,positive
susah banget si login,1,-2,negative
aplikasi aneh login dipersulit mutermuter aja trs sampe kiamat nggak susah susah,1,-7,negative
mohon perbaiki bugnya masang foto sampul foto galeri gak,3,5,positive
daftar aja gk loker akun linkidn solusinya gimana min,1,5,positive
terhubung grup family pribadi nya lengkap memuaskan,5,3,positive
berguna kerana menambah insights,5,8,positive
gak masuk stick mari lakukan pemeriksaan keamanan cepat,1,4,positive
loginn sulit,1,0,neutral
good network platform,5,5,positive
mantap gais,5,5,positive
stick login mari lakukan pemeriksaan keamanan cepat coba login akun website aplikasi nyambung akunnya pake website,5,5,positive
bagus membantu,5,6,positive
susah banget ya masuk linkedin tolong berbaikin kuota wifi sinyal bagus buffting banget gak akses,1,5,positive
good app,5,5,positive
apk ga udah sebulanan gabisa login,1,0,neutral
login ya pemeriksaan keamanan yg kunjung selesai load page minggu login,1,11,positive
login bener memeriksa keamanan sejaman gila,1,1,positive
gagal menycapay impian putus asa berusaha kerja keras hasil memuaskan strategi dalambisnis menycapay impian,5,21,positive
saldo habis d kuras sapa apk memiliki langganan apapun,1,9,positive
semoga apk membantu,5,4,positive
boskuh tolonglah akun aja gk stick load,1,1,positive
tolong login google auth nya login logout stick mari lakukan pemeriksaan keamanan cepat,1,10,positive
fitur linkedln,5,0,neutral
susah buka,1,0,neutral
joz gandoz kotoz kotoz mak nyoz,5,0,neutral
ok,3,4,positive
puas,4,3,positive
good job,5,5,positive
good app to help human be to get knowledge and opportunity for his job career path,5,7,positive
good aplikasi,5,1,positive
hapus aja aplikasi nya dri playstore daftar login aja gk,1,-4,negative
aplikasi sampah bikin fitur login aja ngerugiin user yg ngeluh stick pemeriksaan keamanan cepat aplikasi bermasalah,1,-12,negative
stick ga log in gimana nih,1,0,neutral
knp gak login ngestuck pemeriksaan cepat yg kyk tolong solusinya kyk,1,9,positive
i cant login at all stick at security check only load although my internet connection be fine,1,5,positive
yg terbaik meningkatkan kualitas linkedin yg terbaik,5,14,positive
instal yaa aplikasinya semenjak hp direset ulang,5,0,neutral
sekalai,5,0,neutral
kecurigaan sistem sensitif akun diakses datanya hilang dicari google,2,0,neutral
x akun stick mari lakukan pemeriksaan keamanan cepat stick sampe berjam solusi akunya stick solusinya ya bikin edit profil ribet tolong linkedin perbaiki secepat nya,1,15,positive
ga banget stick pemeriksaan cepat udah,1,4,positive
very helpful,5,0,neutral
linkedln mohon perbaiki bug apkweb pengguna mengakses informasi lancar,1,9,positive
pengalaman,5,2,positive
masuk aplikasinya susah sistem pemeriksaan udah coba ga udah ganti sandi verifikasi pakai ktp tetep ga,1,-5,negative
,5,0,neutral
aplikasi bagus mencari lowongan kerja pelamar,5,-3,negative
stick login,1,0,neutral
terimakasih kasih pelayanan yg satset cepat dimana ditampilkan login nya aja yg merespon cepat apk nya,1,20,positive
kalah orang,1,-4,negative
membantu,4,4,positive
full of insights and create a chance to make more network colleagues across the world,5,0,neutral
login aja gabisa mmks,1,1,positive
susah banget login,1,-2,negative
bagus,5,2,positive
susah masuknya,1,-3,negative
gak login periksa keamanan mulu gk kelar,1,0,neutral
susah login kode verifikasi dikirim email,1,-4,negative
wahhh aplikasi bagus senang menemukan aplikasi,5,1,positive
semoga berbuah hasil manis,5,10,positive
ruang bergabung dunia bisnis,5,-3,negative
kecewa loginya gimana sih aduh aduh,1,2,positive
very good,5,5,positive
susah login muter,1,-3,negative
login ya daftar linkedin login mohon bantuannya,2,7,positive
semangat cari kerjaan cuman live stream cuan yuk,5,10,positive
aplikasi gajelas nyoba berkali ngestuck pemeriksaan keamanan cepat tolong linkedin perbaiki aplikasinya,1,2,positive
top,5,5,positive
mari lakukan pemeriksaan keamanan cepat linkedin stick tolong diperbaiki,1,10,positive
akun dibagian verifikasi keamanan muter,2,0,neutral
aplikasi bohong,5,-9,negative
good apl,5,5,positive
muter muter pemeriksaan keamanan gak selesai selesai,1,4,positive
infoemasi lengkap akurat,4,2,positive
linkedin the best apps not only to find job but also the best apps to create and fine people arround the world so with linkedin we can always stay connect love it so much but please make lite version apps,5,6,positive
pengguna mengakses linkedin ya tolong perbaiki,1,8,positive
gak log in ya pake email gak ake no hp kaga,1,4,positive
terkoneksi cepat lengkap jaringan anggauta nya luas,5,14,positive
,5,0,neutral
je,3,0,neutral
proses pemeriksaannya banget dah,1,-1,negative
very good thank you,5,9,positive
halo linkedin tolong respon yaa akun stick periksa keamanan login harap respon menemukan solusinya terimakasih,1,16,positive
akun loadingnya banget ya udah coba kali tetep uninstall install udah internet lancar,1,11,positive
aplikasi jelek login bacaan nya gini mari lakukan pemeriksaan keamanan cepat nunggu menit masuk aplikasi mengecewakan,1,-11,negative
tolol ga login stick verifikasi nya ga selesai load,1,-3,negative
susah login stick mari lakukan pemeriksaan keamanan cepat,1,4,positive
gak login gagal,1,-4,negative
aplikasi profesional membantu pencari kerja pemberi kerja mencari merekrut pekerja,5,4,positive
berjalan lancar tolong knapa gabisa buka,2,10,positive
login akun pemeriksaan keamanan proses menerus melanjutkan tahap login pendaftaran,2,4,positive
developer tolong perbaiki pendaftaran akun eror,1,2,positive
lelet load mulu kode ga muncul muncul kena langkah amanan salah linkdln,1,-2,negative
akunselalu gagal mencoba login google sejenisnya akun verifikasi verifikasi muncul eror stick pemeriksaan keamanan cepatastaga udah bikin akun kode terkirim no captcha gak muncul munculini developer tolong perbaiki tolong diperbaiki captcha nya,1,-3,negative
akun tdk login berhenti pemeriksaan keamanan cepat,1,3,positive
aplikasi download lagitidak tersimpan hp,2,-4,negative
nilai segini susah gabung sdh masuk perf nohp gk,3,-6,negative
